name,comment
 【当当自营】华为 P30 全网通8GB+256GB 天空之境 移动联通电信4G手机 双卡双待,115
 【当当自营】华为 P30 全网通8GB+256GB 亮黑色 移动联通电信4G手机 双卡双待,115
 【当当自营】华为 P30 全网通8GB+256GB 极光色 移动联通电信4G手机 双卡双待,114
 支持礼品卡 Xiaomi/小米 红米6A智能AI人脸解锁全面屏老人学生拍照手机5A升级,110
 【当当自营】华为 P30 Pro 全网通8GB+128GB 亮黑色 移动联通电信4G手机 双卡双待,107
 【当当自营】华为 荣耀10 青春版 全网通6GB+128GB 渐变蓝 移动联通电信4G手机 双卡双待,101
 【当当自营】华为 荣耀20i 全网通6GB+256GB 渐变红 移动联通电信4G手机 双卡双待,99
 【当当自营】OPPO Reno 全面屏拍照手机 星云紫 全网通6GB+128GB 移动联通电信 双卡双待手机,99
 小米 红米5A 全网通版 2GB+16GB 3GB+32GB移动联通电信4G手机,97
 【当当自营】华为 荣耀20i 全网通4GB+128GB 渐变红 移动联通电信4G手机 双卡双待,96
 【当当自营】华为 荣耀20i 全网通6GB+64GB 幻夜黑 移动联通电信4G手机 双卡双待,96
 【当当自营】OPPO Reno 全面屏拍照手机 全网通6GB+256GB 雾海绿 移动联通电信 双卡双待手机,96
 【当当自营】华为 荣耀20i 全网通6GB+64GB 渐变红 移动联通电信4G手机 双卡双待,95
 【当当自营】华为 荣耀20i 全网通6GB+256GB 幻夜黑 移动联通电信4G手机 双卡双待,94
 【当当自营】华为 P30 Pro 全网通8GB+256GB 亮黑色 移动联通电信4G手机 双卡双待,94
 【当当自营】华为 P30 Pro 全网通8GB+128GB 极光色 移动联通电信4G手机 双卡双待,94
 【当当自营】华为 荣耀20i 全网通6GB+64GB 渐变蓝 移动联通电信4G手机 双卡双待,93
 【当当自营】华为 P30 Pro 全网通8GB+128GB 天空之境 移动联通电信4G手机 双卡双待,93
 【当当自营】华为 荣耀20i 全网通6GB+256GB 渐变蓝 移动联通电信4G手机 双卡双待,93
 【当当自营】华为 畅享9 Plus 全网通6GB+128GB 幻夜黑 四摄超清全面屏大电池 移动联通电信4G手机 双卡,93
 【当当自营】小米 Redmi 红米 K20 移动联通电信全网通4G手机 弹出式全面屏拍照游戏智能手机,93
 【当当自营】华为 荣耀20i 全网通4GB+128GB 渐变蓝 移动联通电信4G手机 双卡双待,93
 【当当自营】华为 荣耀20i 全网通4GB+128GB 幻夜黑 移动联通电信4G手机 双卡双待,93
 【当当自营】华为畅享9e 千元珍珠屏 3GB+64GB 幻夜黑移动联通电信4G全面屏全网通手机,92
 【当当自营】华为 P30 Pro 全网通8GB+256GB 极光色 移动联通电信4G手机 双卡双待,92
 【当当自营】华为 畅享9 Plus 全网通6GB+128GB 宝石蓝 四摄超清全面屏大电池 移动联通电信4G手机 双卡,91
 【当当自营】华为 P30 Pro 全网通8GB+256GB 天空之境 移动联通电信4G手机 双卡双待,91
 【当当自营】华为畅享9e 千元珍珠屏 3GB+64GB 琥珀棕 移动联通电信4G全面屏全网通手机,90
 【当当自营】华为 P30 Pro 全网通8GB+128GB 珠光贝母 移动联通电信4G手机 双卡双待,90
 Apple iPhone XS Max 移动联通电信4G手机 官方授权 品质保障,89
 【当当自营】华为 HUAWEI 畅享9 Plus 全网通 四摄超清全面屏大电池 移动联通电信4G手机 双卡双待,88
 【当当自营】华为 畅享9 Plus 全网通6GB+128GB 极光紫 四摄超清全面屏大电池 移动联通电信4G手机 双卡,88
 【当当自营】华为畅享9e 千元珍珠屏 3GB+64GB 宝石蓝 移动联通电信4G全面屏全网通手机,88
 【当当自营】诺基亚手机105 蓝色 单卡 移动联通手机 老人机 备用机,87
 【当当自营】华为 畅享9 Plus 全网通4GB+128GB 极光紫 移动联通电信4G手机 双卡双待,87
 【当当自营】华为 P30 Pro 全网通8GB+256GB 珠光贝母 移动联通电信4G手机 双卡双待,86
 【当当自营】Apple iPhone 8 苹果8 (A1863) 64GB 银色 移动联通电信4G手机,84
 【当当自营】华为 畅享9 全网通4GB+64GB版 极光蓝 高清珍珠屏 AI长续航 移动联通电信4G手机,78
 【当当自营】Huawei/华为nova 5i自拍极点全面屏2400万AI四摄超大广角超级夜景AI立体美颜手机,78
 【当当自营】华为 荣耀10 青春版 全网通6GB+128GB 幻夜黑 移动联通电信4G手机 双卡双待,78
 【当当自营】华为 nova4e 全网通4GB+128GB 雀翎蓝 移动联通电信4G手机 双卡双待,76
 【当当自营】华为 nova4e 全网通6GB+128GB 雀翎蓝 移动联通电信4G手机 双卡双待,75
 华为 HUAWEI P30 Pro 超大广角 超感光徕卡四摄10倍混合变焦 8GB+512GB 亮黑色 全网通版双4G,73
 【当当自营】华为 荣耀10 青春版 全网通6GB+128GB 渐变红 移动联通电信4G手机 双卡双待,71
 【当当自营】Apple iPhone 苹果 8 Plus (A1864) 64GB 银色 移动联通电信4G手机,68
 【当当自营】华为 荣耀10 青春版 全网通6GB+64GB 渐变蓝 移动联通电信4G手机 双卡双待,68
 【当当自营】华为 荣耀10 青春版 全网通6GB+64GB 渐变红 移动联通电信4G手机 双卡双待,67
 【当当自营】华为 畅享9 全网通4GB+64GB版 幻夜黑 高清珍珠屏 AI长续航 移动联通电信4G手机,66
 【当当自营】华为 nova4e 全网通4GB+128GB 幻夜黑 移动联通电信4G手机 双卡双待,65
 【当当自营】华为Mate20 Pro 6GB+128GB 极光色 全面屏徕卡三摄移动联通电信4G手机,64
 【当当自营】华为 nova4e 全网通6GB+128GB 幻夜黑 移动联通电信4G手机 双卡双待,63
 【当当自营】华为 荣耀10 青春版 全网通6GB+64GB 幻夜黑 移动联通电信4G手机 双卡双待,63
 【当当自营】华为 荣耀10 青春版 全网通4GB+64GB 渐变蓝 移动联通电信4G手机 双卡双待,62
 【当当自营】HUAWEI 华为畅享9 高清珍珠屏 AI长续航 全网通标配版 移动联通电信4G手机,61
